开奖日期,期号,销售额,开奖结果
2023-06-14,23067,306580086,"02,28,30,33,35,02,10"
2023-06-12,23066,311912224,"06,11,13,30,32,01,03"
2023-06-10,23065,326869150,"08,14,16,21,25,03,12"
2023-06-07,23064,306244331,"02,06,09,31,32,03,07"
2023-06-05,23063,302254758,"04,18,29,31,34,06,09"
2023-06-03,23062,326064748,"06,08,22,24,30,01,08"
2023-05-31,23061,309303838,"07,11,21,30,32,05,07"
2023-05-29,23060,310894364,"02,07,19,24,30,09,12"
2023-05-27,23059,358763124,"09,13,23,25,28,04,07"
2023-05-24,23058,363828515,"19,22,29,32,35,05,08"
2023-05-22,23057,344889264,"01,05,06,19,24,05,11"
2023-05-20,23056,398657811,"13,22,24,33,34,01,02"
2023-05-17,23055,350342112,"06,08,12,13,15,01,06"
2023-05-15,23054,350143702,"19,25,30,31,34,07,09"
2023-05-13,23053,372295609,"01,03,11,14,20,02,11"
2023-05-10,23052,355627104,"02,08,11,30,33,05,08"
2023-05-08,23051,349432627,"03,11,19,29,33,03,12"
2023-05-06,23050,375710449,"08,09,14,25,29,04,06"
2023-05-03,23049,331270234,"03,17,22,26,28,07,12"
2023-05-01,23048,313990124,"07,13,16,25,32,09,11"
2023-04-29,23047,362544707,"10,12,13,24,25,11,12"
2023-04-26,23046,352135852,"13,21,25,28,32,02,10"
2023-04-24,23045,346712734,"07,10,13,28,31,04,05"
2023-04-22,23044,378830462,"02,06,07,08,15,07,10"
2023-04-19,23043,356711435,"02,04,17,20,27,01,08"
2023-04-17,23042,362398489,"02,16,21,23,27,01,08"
2023-04-15,23041,389220667,"05,08,13,26,35,05,09"
2023-04-12,23040,369110639,"04,05,18,22,30,05,12"
2023-04-10,23039,368190696,"02,24,26,30,34,06,07"
2023-04-08,23038,311720942,"04,10,18,27,32,10,12"
2023-04-05,23037,284657775,"06,08,16,20,24,07,08"
2023-04-03,23036,285032829,"01,13,22,26,31,02,10"
2023-04-01,23035,310558399,"07,14,23,25,29,02,11"
2023-03-29,23034,287732716,"07,09,10,15,24,04,12"
2023-03-27,23033,289373837,"04,06,10,11,25,07,09"
2023-03-25,23032,308131139,"05,06,18,28,30,02,07"
2023-03-22,23031,287302404,"05,07,08,16,25,03,11"
2023-03-20,23030,291586529,"06,11,12,20,35,05,12"
2023-03-18,23029,309186270,"07,25,27,34,35,09,11"
2023-03-15,23028,293553586,"01,03,29,30,34,04,12"
2023-03-13,23027,288212889,"09,10,12,15,23,03,06"
2023-03-11,23026,316826904,"02,13,24,27,30,01,06"
2023-03-08,23025,298831206,"03,09,27,30,31,11,12"
2023-03-06,23024,299898051,"11,15,24,27,30,01,10"
2023-03-04,23023,327693006,"09,21,23,25,33,03,10"
2023-03-01,23022,304855393,"07,11,15,26,28,08,10"
2023-02-27,23021,304448024,"02,09,18,23,27,03,05"
2023-02-25,23020,323977748,"05,06,23,25,28,06,09"
2023-02-22,23019,298433689,"05,08,09,11,15,06,08"
2023-02-20,23018,297501654,"04,08,17,26,30,03,11"
2023-02-18,23017,325814136,"02,05,09,22,27,10,11"
2023-02-15,23016,294344609,"02,04,12,31,32,07,11"
2023-02-13,23015,286304176,"08,16,24,25,34,08,12"
2023-02-11,23014,308698349,"03,08,18,22,24,01,09"
2023-02-08,23013,290272193,"01,02,09,23,25,02,06"
2023-02-06,23012,274786290,"07,16,17,18,28,02,03"
2023-02-04,23011,297936990,"02,07,08,17,25,01,03"
2023-02-01,23010,272385898,"05,06,13,23,26,01,06"
2023-01-30,23009,288306205,"01,05,11,15,33,01,10"
2023-01-18,23008,322639161,"04,09,17,22,25,01,05"
2023-01-16,23007,270298202,"02,03,24,30,32,01,06"
2023-01-14,23006,286730809,"02,04,12,27,35,06,07"
2023-01-11,23005,271728892,"01,03,10,20,29,06,11"
2023-01-09,23004,258433073,"04,13,15,20,22,04,08"
2023-01-07,23003,281549083,"05,06,14,21,22,02,09"
2023-01-04,23002,255061637,"11,14,21,26,27,02,07"
2023-01-02,23001,244595607,"18,19,24,27,34,11,12"
2022-12-31,22150,267131944,"06,07,26,29,30,03,12"
2022-12-28,22149,227015437,"15,19,22,26,28,02,07"
2022-12-26,22148,222561477,"04,05,06,26,27,07,12"
2022-12-24,22147,242212561,"04,12,22,28,30,09,11"
2022-12-21,22146,226981538,"01,21,23,28,35,07,09"
2022-12-19,22145,235282028,"10,20,29,30,35,06,09"
2022-12-17,22144,254622809,"03,04,08,15,21,04,07"
2022-12-14,22143,250946991,"10,13,14,27,33,07,08"
2022-12-12,22142,261964327,"07,12,14,29,35,01,11"
2022-12-10,22141,280927317,"05,06,14,24,25,02,04"
2022-12-07,22140,263913540,"05,15,25,26,29,04,12"
2022-12-05,22139,249420144,"01,13,14,22,35,02,05"
2022-12-03,22138,263569680,"05,13,16,27,33,07,12"
2022-11-30,22137,236652115,"05,06,08,15,20,07,08"
2022-11-28,22136,243043220,"01,11,15,17,33,03,11"
2022-11-26,22135,276637790,"09,10,27,31,32,01,03"
2022-11-23,22134,260504803,"03,16,23,27,32,03,06"
2022-11-21,22133,268194352,"01,02,14,30,31,06,09"
2022-11-19,22132,303478141,"02,27,30,34,35,09,12"
2022-11-16,22131,280955531,"02,06,08,10,17,05,06"
2022-11-14,22130,276026401,"05,07,15,18,23,05,10"
2022-11-12,22129,296103979,"10,17,23,34,35,01,04"
2022-11-09,22128,287676329,"10,19,21,23,35,04,10"
2022-11-07,22127,281679123,"02,03,08,09,20,04,10"
2022-11-05,22126,302545991,"04,05,08,22,35,01,03"
2022-11-02,22125,281402027,"03,07,14,16,19,01,11"
2022-10-31,22124,280957519,"02,04,11,25,30,06,12"
2022-10-29,22123,305820352,"02,20,28,29,30,07,10"
2022-10-26,22122,274529792,"04,15,17,19,25,06,12"
2022-10-24,22121,273260256,"04,15,16,20,21,04,05"
2022-10-22,22120,297092815,"11,22,26,30,33,03,05"
2022-10-19,22119,265928079,"01,09,16,25,29,04,09"
2022-10-17,22118,266205201,"02,05,15,17,26,02,08"
2022-10-15,22117,288760077,"09,12,15,21,32,02,07"
2022-10-12,22116,268635897,"01,07,20,22,31,07,12"
2022-10-10,22115,264625441,"17,19,20,23,27,03,08"
2022-10-08,22114,279880005,"11,21,24,27,28,05,10"
2022-10-05,22113,276092506,"13,15,22,31,33,05,12"
2022-09-28,22112,277451326,"04,11,18,20,26,06,12"
2022-09-26,22111,275608888,"06,12,16,19,31,06,10"
2022-09-24,22110,293502614,"02,13,16,18,23,03,06"
2022-09-21,22109,274478389,"05,09,24,29,35,05,12"
2022-09-19,22108,270398530,"04,07,13,26,28,07,11"
2022-09-17,22107,289183885,"07,09,19,28,29,08,10"
2022-09-14,22106,263686397,"16,17,21,28,32,04,07"
2022-09-12,22105,261227681,"01,08,09,21,22,01,04"
2022-09-10,22104,278107743,"03,05,13,19,25,02,05"
2022-09-07,22103,257860867,"08,12,16,21,32,01,12"
2022-09-05,22102,254102938,"01,05,14,20,30,02,04"
2022-09-03,22101,285323196,"02,04,06,07,08,03,06"
2022-08-31,22100,263081270,"10,19,20,23,31,03,07"
2022-08-29,22099,262403522,"07,18,25,27,33,04,05"
2022-08-27,22098,290597334,"01,03,06,11,13,03,11"
2022-08-24,22097,265903896,"05,13,22,28,29,05,11"
2022-08-22,22096,265333149,"16,19,24,27,33,01,06"
2022-08-20,22095,285755605,"05,08,22,25,35,02,07"
2022-08-17,22094,263091435,"03,04,07,12,19,02,05"
